Phylo,Family,Order,Scientific_name,Mass
Merulaxis_stresemanni,Rhinocryptidae,Passeriformes,Merulaxis stresemanni,35
Calidris_bairdii,Scolopacidae,Charadriiformes,Calidris bairdii,41
Leptodon_forbesi,Accipitridae,Accipitriformes,Leptodon forbesi,577
Zoothera_everetti,Turdidae,Passeriformes,Zoothera everetti,81.9
Aegotheles_archboldi,Aegothelidae,Apodiformes,Aegotheles archboldi,30.6
Telophorus_viridis,Malaconotidae,Passeriformes,Telophorus viridis,37.1
Gallinago_andina,Scolopacidae,Charadriiformes,Gallinago andina,109.4
Myzomela_dammermani,Meliphagidae,Passeriformes,Myzomela dammermani,7.8
Ninox_squamipila,Strigidae,Strigiformes,Ninox squamipila,210
Amazilia_viridigaster,Trochilidae,Apodiformes,Amazilia viridigaster,3.7
Andigena_cucullata,Ramphastidae,Piciformes,Andigena cucullata,311.8
Vini_stepheni,Psittacidae,Psittaciformes,Vini stepheni,55
Zonotrichia_albicollis,Emberizidae,Passeriformes,Zonotrichia albicollis,24.4
Pyrrhura_calliptera,Psittacidae,Psittaciformes,Pyrrhura calliptera,75
Cinclodes_pabsti,Furnariidae,Passeriformes,Cinclodes pabsti,53
Emberiza_affinis,Emberizidae,Passeriformes,Emberiza affinis,15.4
Conopophaga_melanops,Conopophagidae,Passeriformes,Conopophaga melanops,20.1
Sturnus_sturninus,Sturnidae,Passeriformes,Sturnus sturninus,49.4
Tchagra_senegalus,Malaconotidae,Passeriformes,Tchagra senegalus,53.5
Zosterops_mouroniensis,Zosteropidae,Passeriformes,Zosterops mouroniensis,9.9
Anas_laysanensis,Anatidae,Anseriformes,Anas laysanensis,843.4
Schizoeaca_coryi,Furnariidae,Passeriformes,Schizoeaca coryi,16.8
Phylloscopus_collybita,Sylviidae,Passeriformes,Phylloscopus collybita,8.3
