Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Pitohui_ferrugineus,Colluricinclidae,Passeriformes,Pitohui ferrugineus,29.1,17.6,8.3,9.4,36.2,134.1,21.2,113.8,15.6,109.5,93.9,Forest,1,1,Omnivore,Omnivore,Insessorial,-10.73,-0.01,-5.32,140.91,614817.29,Extant
Pitohui_incertus,Colluricinclidae,Passeriformes,Pitohui incertus,23.5,14.4,6.6,8.6,30.5,111.6,13.7,97.9,12.2,93,75,Forest,1,1,Omnivore,Omnivore,Insessorial,-6.13,-4.92,-5.33,139.5,606.03,Extant
Pitohui_kirhocephalus,Colluricinclidae,Passeriformes,Pitohui kirhocephalus,30.3,18.8,8.2,9.1,33.3,117.6,13,104.8,10.9,103.8,72,Forest,2,1,Omnivore,Invertivore,Insessorial,-10.7,-0.01,-4.36,139.45,487398.82,Extant
Pitohui_nigrescens,Colluricinclidae,Passeriformes,Pitohui nigrescens,29.8,15.7,8.6,9.6,31.1,122.4,19,103.4,15.5,104,76.9,Forest,1,1,Omnivore,Omnivore,Insessorial,-10.11,-0.56,-5.24,141.79,131590.72,Extant
Conopophaga_ardesiaca,Conopophagidae,Passeriformes,Conopophaga ardesiaca,17.5,9,5.7,4.3,30.3,70.8,9.8,61.4,13.9,45.2,26.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-22.34,-12.44,-16.59,-66.99,100334.39,Extant
Conopophaga_aurita,Conopophagidae,Passeriformes,Conopophaga aurita,15.6,9.3,5.8,4.4,27.2,67.7,9.6,58,14.2,32.5,26.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-11.46,7.43,-3.08,-62.26,3387968.7,Extant
Conopophaga_castaneiceps,Conopophagidae,Passeriformes,Conopophaga castaneiceps,20.9,9.6,5.9,4.4,29.1,74.4,8.8,65.4,11.8,42.1,27,Forest,1,1,Carnivore,Invertivore,Insessorial,-12.58,8.04,-2.03,-76.24,160640.32,Extant
Conopophaga_cearae,Conopophagidae,Passeriformes,Conopophaga cearae,15.2,9.6,5.2,4.6,26.9,69.6,6.3,65.5,8.8,43,22,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.55,-4,-7.65,-35.9,58582.69,Extant
Conopophaga_lineata,Conopophagidae,Passeriformes,Conopophaga lineata,16.4,8.9,4.9,4,28.1,70,7.8,62.6,11,45.3,25.2,Forest,1,1,Carnivore,Invertivore,Insessorial,-32.41,-12.65,-21.94,-48.84,1896972.3,Extant
Conopophaga_melanogaster,Conopophagidae,Passeriformes,Conopophaga melanogaster,20.4,11.4,6.2,5.2,32.7,79.2,9.3,70.4,11.8,41.2,42.5,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.14,-2.02,-7.84,-59.33,911253.95,Extant
Conopophaga_melanops,Conopophagidae,Passeriformes,Conopophaga melanops,16,9.9,5.6,4.9,25.5,65.2,8.6,55.4,13.4,28.3,20.1,Forest,1,1,Carnivore,Invertivore,Insessorial,-27.01,-6.6,-18.32,-41.2,242500.41,Extant
Conopophaga_peruviana,Conopophagidae,Passeriformes,Conopophaga peruviana,17.7,9.9,6.2,4.5,25.6,65.6,11.2,54.7,17.1,30.8,23,Forest,1,1,Carnivore,Invertivore,Insessorial,-13.73,-0.54,-7.11,-71.84,1098743.55,Extant
Conopophaga_roberti,Conopophagidae,Passeriformes,Conopophaga roberti,16.3,9.4,5.7,4.2,26.8,69.9,7.1,62.2,10.2,35.9,20.8,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.26,-0.58,-4.87,-45.11,686966.07,Extant
Corcorax_melanorhamphos,Corcoracidae,Passeriformes,Corcorax melanorhamphos,49.3,33.6,9.2,11.9,61.5,244.9,55.8,192.2,22.6,203.3,364,Woodland,2,1,Omnivore,Omnivore,Terrestrial,-39.24,-18.62,-30.38,146.06,1979313.45,Extant
Struthidea_cinerea,Corcoracidae,Passeriformes,Struthidea cinerea,25.1,13.3,7.7,11.4,39,146.6,24.3,124.7,16.3,153.5,132,Shrubland,2,1,Omnivore,Omnivore,Terrestrial,-37,-13.74,-25.83,144.51,2500913.56,Extant
Aphelocoma_californica,Corvidae,Passeriformes,Aphelocoma californica,32.1,19.7,8.8,9.3,40.6,124.5,17.9,106.2,14.4,135,85.7,Shrubland,2,1,Omnivore,Omnivore,Terrestrial,16.16,46.82,34.81,-110.69,2322710.64,Extant
