"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"646","Myrmochanes_hemileucus","Thamnophilidae","Passeriformes","Myrmochanes_hemileucus",18.8,11.1,4.1,3.4,20.9,53.6,7.4,47.1,13.6,33.7,12.5,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",-14.98,-0.22,-5.53,-67.74,261134.97,"Extant"
"647","Myrmorchilus_strigilatus","Thamnophilidae","Passeriformes","Myrmorchilus_strigilatus",15.8,10.2,3.4,4.3,29.5,61.9,5.2,57.1,8.7,60.3,23,"Woodland",2,1,"Carnivore","Invertivore","Terrestrial",-28.53,-3.9,-15.55,-50.82,1728828.97,"Extant"
"648","Myrmornis_torquata","Thamnophilidae","Passeriformes","Myrmornis_torquata",23.7,15,4.5,5.2,24.7,90.2,11.7,80.7,13.1,37.1,46.7,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-11.95,15.46,-0.55,-58.73,3112028.57,"Extant"
"649","Myrmotherula_ambigua","Thamnophilidae","Passeriformes","Myrmotherula_ambigua",14.5,9.4,3.4,3.1,15.7,41,4.6,37.3,11,23,6.7,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-2.18,3.38,0.74,-65.38,257668.14,"Extant"
"650","Myrmotherula_assimilis","Thamnophilidae","Passeriformes","Myrmotherula_assimilis",15.6,9.5,3.5,3.3,16.4,51.5,6.7,45.7,12.7,29.5,9.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-14.2,-0.09,-5.2,-64.01,412230.35,"Extant"
"651","Myrmotherula_axillaris","Thamnophilidae","Passeriformes","Myrmotherula_axillaris",15,9,3.4,3.7,15.4,50.9,7.7,43.9,15.2,36.4,8.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-23.1,15.88,-3.92,-62.38,7982052.39,"Extant"
"652","Myrmotherula_behni","Thamnophilidae","Passeriformes","Myrmotherula_behni",14.5,8.4,3.3,3.5,16.2,54.1,6.5,47.8,11.7,31.4,8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-4.32,7,4.23,-64.5,139424.09,"Extant"
"653","Myrmotherula_brachyura","Thamnophilidae","Passeriformes","Myrmotherula_brachyura",13.5,8.5,3.1,3,16.2,43.6,4.2,39.7,9.5,19.5,6.4,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-16.99,8.47,-3.79,-63.28,6190843.58,"Extant"
"654","Myrmotherula_cherriei","Thamnophilidae","Passeriformes","Myrmotherula_cherriei",17,10.1,3.2,3.1,16.6,50.1,4.2,46,8.3,28.6,8.2,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",-4.46,6.12,2.61,-67.4,676511.23,"Extant"
"655","Myrmotherula_fluminensis","Thamnophilidae","Passeriformes","Myrmotherula_fluminensis",15,9.7,3.4,3.3,17.2,49.5,3.9,45.7,7.8,42.6,9,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-22.43,-22.4,-22.42,-42.73,9.9,"Invalid"
"656","Myrmotherula_grisea","Thamnophilidae","Passeriformes","Myrmotherula_grisea",13.7,8.1,3.1,3.2,15.1,52,9.2,44.7,18,31.5,8.4,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-18.33,-12.18,-15.48,-67.64,67024.25,"Extant"
"657","Myrmotherula_gularis","Thamnophilidae","Passeriformes","Myrmotherula_gularis",15.4,8.6,3.3,3.4,15.7,51.8,5.6,46.9,11,32.5,11.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-29.72,-18.12,-23.53,-47.9,500928.79,"Extant"
"658","Myrmotherula_guttata","Thamnophilidae","Passeriformes","Myrmotherula_guttata",16.2,9.1,3.4,3.5,18.3,51.5,5.5,45.1,10.5,24.5,11,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-3.4,8.16,2.41,-59.15,1694815.8,"Extant"
"659","Myrmotherula_gutturalis","Thamnophilidae","Passeriformes","Myrmotherula_gutturalis",14.9,8.9,3.7,3.9,15.7,50.1,6.3,44.4,12.6,41.5,9.2,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-3.2,7.58,1.99,-56.65,1094090.89,"Extant"
"660","Myrmotherula_hauxwelli","Thamnophilidae","Passeriformes","Myrmotherula_hauxwelli",15,8.5,3.6,3.4,18.9,50.5,7.8,43.2,15.6,24.8,10.7,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-15.44,4.38,-6.55,-63.34,4248364.67,"Extant"
"661","Myrmotherula_ignota","Thamnophilidae","Passeriformes","Myrmotherula_ignota",12.7,8,3.1,3,15.8,42.1,4.4,38.3,9.9,18.2,7.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-10.47,9.64,-1.56,-72.13,1558811.94,"Extant"
"662","Myrmotherula_iheringi","Thamnophilidae","Passeriformes","Myrmotherula_iheringi",14.3,8.4,3.3,3.4,15.4,49.5,10.5,42.9,20.2,26.1,8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-13.53,-2.14,-7.6,-65.26,1149280.58,"Extant"
"663","Myrmotherula_klagesi","Thamnophilidae","Passeriformes","Myrmotherula_klagesi",15.2,8.9,3.5,3.2,16.2,46.9,5.1,42.9,10.7,28.6,7.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-3.75,1.76,-2.19,-58.8,56287.31,"Extant"
"664","Myrmotherula_longicauda","Thamnophilidae","Passeriformes","Myrmotherula_longicauda",15.7,8.6,3.4,3.1,17.7,48,5.2,43.3,11,34.5,8.3,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-16.9,1.5,-8.69,-73.69,153775.14,"Extant"
"665","Myrmotherula_longipennis","Thamnophilidae","Passeriformes","Myrmotherula_longipennis",15.3,9.4,3.6,3.4,15.6,56.6,10.3,46.3,18.2,32,9.4,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-13.21,8.51,-2.48,-62.6,5117183.47,"Extant"
